Age;Sex;ID;Race;Country;Education;Education-Num;Marital Status;Relationship
41; Female;3021844; White; United-States; Bachelors;13.0; Divorced; Not-in-family
53; Female;13472019; White; United-States; Bachelors;13.0; Divorced; Not-in-family
31; Female;3639019; White; United-States; Masters;14.0; Married-civ-spouse; Wife
58; Male;1671154; White; United-States; Doctorate;16.0; Married-civ-spouse; Husband
38; Female;13036981; Black; United-States; Some-college;10.0; Divorced; Not-in-family
24; Male;10957660; White; United-States; Some-college;10.0; Married-civ-spouse; Husband
41; Male;5406962; Black; United-States; Bachelors;13.0; Married-civ-spouse; Husband
47; Male;8547095; White; United-States; Some-college;10.0; Married-civ-spouse; Husband
41; Male;12610446; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
23; Male;3616644; White; Mexico; 5th-6th;3.0; Married-civ-spouse; Other-relative
36; Male;7121214; White; United-States; Some-college;10.0; Divorced; Not-in-family
40; Female;17462753; White; United-States; Masters;14.0; Never-married; Not-in-family
35; Male;7952163; White; United-States; Masters;14.0; Married-civ-spouse; Other-relative
24; Male;19226350; White; United-States; HS-grad;9.0; Never-married; Not-in-family
26; Female;7574717; White; United-States; Masters;14.0; Never-married; Not-in-family
19; Male;9242702; White; Italy; HS-grad;9.0; Never-married; Own-child
51; Male;10518346; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
42; Female;11096412; White; United-States; Some-college;10.0; Never-married; Not-in-family
37; Female;10531819; White; United-States; HS-grad;9.0; Divorced; Unmarried
18; Female;10490064; White; United-States; 11th;7.0; Never-married; Own-child
36; Male;2447819; Black; United-States; Bachelors;13.0; Married-civ-spouse; Husband
35; Male;13440330; White; United-States; HS-grad;9.0; Divorced; Not-in-family
58; Female;19417234; White; United-States; HS-grad;9.0; Married-civ-spouse; Wife
17; Female;17178891; White; United-States; 11th;7.0; Never-married; Own-child
44; Male;4502787; Black; United-States; HS-grad;9.0; Married-civ-spouse; Husband
37; Male;17986660; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
35; Female;8901315; Amer-Indian-Eskimo; United-States; Some-college;10.0; Never-married; Not-in-family
60; Male;20064370; Asian-Pac-Islander; United-States; HS-grad;9.0; Married-civ-spouse; Husband
54; Male;4765459; White; United-States; 7th-8th;4.0; Married-civ-spouse; Husband
37; Male;10970135; Black; United-States; Bachelors;13.0; Never-married; Not-in-family
50; Female;18473833; White; United-States; Assoc-acdm;12.0; Divorced; Not-in-family
38; Male;15868162; White; Poland; Bachelors;13.0; Married-civ-spouse; Husband
45; Male;6658412; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
25; Male;1930550; White; United-States; 10th;6.0; Never-married; Not-in-family
31; Male;7533395; White; United-States; Some-college;10.0; Married-civ-spouse; Husband
64; Male;16136017; White; United-States; 1st-4th;2.0; Divorced; Not-in-family
90; Male;8202401; Black; United-States; HS-grad;9.0; Never-married; Not-in-family
54; Male;10882774; Black; United-States; HS-grad;9.0; Married-civ-spouse; Husband
53; Female;16476295; White; United-States; Preschool;1.0; Never-married; Not-in-family
18; Female;1811644; White; United-States; HS-grad;9.0; Never-married; Own-child
60; Female;16052762; Amer-Indian-Eskimo; United-States; 10th;6.0; Divorced; Not-in-family
66; Male;4237148; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
75; Female;7764009; White; Columbia; Assoc-voc;11.0; Widowed; Not-in-family
65; Female;21602793; White; United-States; HS-grad;9.0; Divorced; Not-in-family
35; Male;18278149; Black; United-States; 11th;7.0; Separated; Not-in-family
41; Female;15705226; Black; United-States; HS-grad;9.0; Divorced; Unmarried
25; Male;12962885; White; United-States; Some-college;10.0; Never-married; Not-in-family
33; Female;3869689; Other; United-States; Some-college;10.0; Divorced; Other-relative
28; Male;12736595; White; United-States; Prof-school;15.0; Never-married; Not-in-family
59; Male;39500; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
40; Female;23225417; White; United-States; Some-college;10.0; Never-married; Not-in-family
41; Male;17514301; White; Iran; Bachelors;13.0; Married-civ-spouse; Husband
38; Male;18580817; White; United-States; Masters;14.0; Married-civ-spouse; Husband
23; Male;5850242; White; United-States; HS-grad;9.0; Never-married; Own-child
40; Male;1704328; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
41; Female;23584875; White; United-States; HS-grad;9.0; Married-civ-spouse; Wife
24; Male;20832697; White; United-States; Assoc-acdm;12.0; Married-civ-spouse; Husband
20; Male;17388788; White; United-States; Some-college;10.0; Never-married; Own-child
38; Male;16560489; White; United-States; Some-college;10.0; Divorced; Not-in-family
56; Male;12643271; White; ?; HS-grad;9.0; Married-civ-spouse; Husband
58; Male;4453228; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
32; Female;587786; White; United-States; HS-grad;9.0; Never-married; Not-in-family
40; Male;24177776; White; United-States; Assoc-acdm;12.0; Married-civ-spouse; Husband
45; Male;13005775; White; ?; HS-grad;9.0; Married-civ-spouse; Husband
41; Female;18617768; White; United-States; Prof-school;15.0; Married-civ-spouse; Wife
42; Female;15572041; Black; United-States; Bachelors;13.0; Married-civ-spouse; Wife
59; Female;16694162; Black; United-States; 10th;6.0; Widowed; Unmarried
19; Male;23188011; White; United-States; Some-college;10.0; Never-married; Own-child
58; Male;3443311; White; United-States; Some-college;10.0; Never-married; Not-in-family
42; Male;436031; Asian-Pac-Islander; Cambodia; HS-grad;9.0; Married-civ-spouse; Husband
20; Female;1775132; White; United-States; HS-grad;9.0; Never-married; Own-child
32; Female;8494780; White; United-States; HS-grad;9.0; Separated; Not-in-family
45; Female;16552460; White; United-States; Assoc-voc;11.0; Widowed; Not-in-family
50; Male;24405745; White; United-States; 7th-8th;4.0; Divorced; Not-in-family
36; Female;12290074; White; United-States; Bachelors;13.0; Divorced; Own-child
45; Male;15315057; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
17; Male;24705266; White; United-States; 11th;7.0; Never-married; Own-child
59; Male;22818882; White; United-States; Some-college;10.0; Married-civ-spouse; Husband
26; Male;974369; White; United-States; 11th;7.0; Married-civ-spouse; Husband
37; Male;8917075; Asian-Pac-Islander; Thailand; Some-college;10.0; Married-civ-spouse; Husband
19; Male;8204709; White; Canada; Some-college;10.0; Never-married; Own-child
64; Male;16861099; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
33; Female;7942432; White; United-States; Bachelors;13.0; Never-married; Not-in-family
33; Female;10399916; White; United-States; HS-grad;9.0; Married-civ-spouse; Wife
61; Male;25273436; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
17; Male;23397205; White; United-States; 9th;5.0; Never-married; Own-child
50; Male;4038554; White; United-States; Masters;14.0; Married-civ-spouse; Husband
27; Male;21285321; White; United-States; Masters;14.0; Never-married; Own-child
30; Female;22681181; White; United-States; HS-grad;9.0; Divorced; Own-child
43; Male;340327; Black; United-States; HS-grad;9.0; Married-civ-spouse; Husband
44; Male;9701660; White; United-States; Some-college;10.0; Married-civ-spouse; Husband
35; Female;5011962; White; United-States; Some-college;10.0; Never-married; Not-in-family
25; Female;17725055; White; United-States; Some-college;10.0; Never-married; Own-child
24; Female;680930; White; United-States; Some-college;10.0; Married-civ-spouse; Wife
22; Female;1333617; White; Germany; Bachelors;13.0; Never-married; Not-in-family
42; Male;15577911; White; United-States; Some-college;10.0; Married-civ-spouse; Husband
34; Female;11476124; Black; United-States; Assoc-acdm;12.0; Divorced; Unmarried
60; Female;15344451; White; United-States; Bachelors;13.0; Divorced; Not-in-family
21; Male;8070599; White; United-States; HS-grad;9.0; Never-married; Own-child
57; Male;753801; White; United-States; Masters;14.0; Married-civ-spouse; Husband
41; Male;22020845; White; United-States; Prof-school;15.0; Married-civ-spouse; Husband
50; Male;6548289; White; United-States; Some-college;10.0; Divorced; Not-in-family
25; Female;22484565; White; United-States; Bachelors;13.0; Never-married; Not-in-family
50; Male;18072620; White; Ecuador; 7th-8th;4.0; Married-civ-spouse; Husband
36; Male;13330128; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
31; Female;10068086; White; United-States; HS-grad;9.0; Divorced; Not-in-family
29; Male;27605315; White; United-States; Bachelors;13.0; Never-married; Not-in-family
21; Male;28097872; White; United-States; Some-college;10.0; Never-married; Own-child
27; Female;422133; Black; United-States; Bachelors;13.0; Never-married; Unmarried
65; Male;26041543; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
37; Female;11633674; White; United-States; Bachelors;13.0; Divorced; Not-in-family
39; Female;2893986; Asian-Pac-Islander; ?; Masters;14.0; Married-civ-spouse; Wife
24; Male;2023611; White; United-States; HS-grad;9.0; Never-married; Own-child
38; Male;27056504; White; United-States; HS-grad;9.0; Divorced; Not-in-family
48; Male;20873955; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
21; Female;6808561; Asian-Pac-Islander; United-States; Some-college;10.0; Never-married; Not-in-family
31; Male;24989135; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
55; Male;6045309; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
24; Female;7508130; Asian-Pac-Islander; Laos; Some-college;10.0; Married-civ-spouse; Wife
43; Female;22462072; White; United-States; HS-grad;9.0; Divorced; Not-in-family
26; Male;2672938; White; United-States; Assoc-acdm;12.0; Never-married; Not-in-family
46; Female;6987075; White; United-States; Assoc-acdm;12.0; Never-married; Not-in-family
35; Male;30313000; White; United-States; Assoc-acdm;12.0; Married-civ-spouse; Husband
41; Male;5973666; White; United-States; Some-college;10.0; Married-civ-spouse; Husband
26; Male;3131547; White; United-States; Bachelors;13.0; Never-married; Not-in-family
34; Male;16861894; Asian-Pac-Islander; Taiwan; Masters;14.0; Married-civ-spouse; Husband
19; Female;30756949; Black; United-States; Some-college;10.0; Never-married; Own-child
36; Female;19825081; Black; United-States; Bachelors;13.0; Divorced; Not-in-family
22; Male;27173596; White; United-States; Some-college;10.0; Never-married; Own-child
24; Male;10668032; White; United-States; Some-college;10.0; Never-married; Not-in-family
77; Male;25594917; White; United-States; Some-college;10.0; Married-civ-spouse; Husband
22; Female;15821028; White; Mexico; 5th-6th;3.0; Married-civ-spouse; Other-relative
29; Female;10297760; White; United-States; Some-college;10.0; Never-married; Not-in-family
62; Female;9166885; White; United-States; HS-grad;9.0; Widowed; Not-in-family
39; Male;20341625; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
43; Male;31196465; White; United-States; Some-college;10.0; Married-civ-spouse; Husband
35; Male;31726353; White; United-States; HS-grad;9.0; Divorced; Not-in-family
29; Female;5055758; White; United-States; 11th;7.0; Never-married; Not-in-family
76; Male;17278667; White; United-States; Masters;14.0; Married-civ-spouse; Husband
63; Male;16917862; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
23; Female;5368317; Black; United-States; Assoc-voc;11.0; Never-married; Own-child
43; Female;2588891; White; United-States; Some-college;10.0; Married-civ-spouse; Wife
58; Male;15620583; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
66; Male;705180; White; United-States; HS-grad;9.0; Never-married; Not-in-family
41; Male;5530181; Black; United-States; Some-college;10.0; Never-married; Not-in-family
26; Male;10409235; White; United-States; Bachelors;13.0; Never-married; Not-in-family
47; Male;26528742; White; United-States; Assoc-voc;11.0; Never-married; Not-in-family
55; Male;29567662; White; United-States; 10th;6.0; Married-civ-spouse; Husband
53; Male;3285531; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
17; Male;3069007; White; Mexico; 5th-6th;3.0; Never-married; Other-relative
30; Male;31562326; White; United-States; HS-grad;9.0; Never-married; Other-relative
49; Male;20222371; White; United-States; Masters;14.0; Never-married; Not-in-family
19; Male;24036971; Black; Haiti; HS-grad;9.0; Never-married; Unmarried
45; Male;28580038; Black; United-States; HS-grad;9.0; Married-civ-spouse; Husband
26; Male;29716694; White; United-States; Assoc-acdm;12.0; Never-married; Not-in-family
38; Male;2268544; White; United-States; Assoc-voc;11.0; Married-civ-spouse; Husband
36; Male;28208959; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
33; Male;2965368; White; United-States; HS-grad;9.0; Never-married; Not-in-family
22; Female;5043080; Black; United-States; Some-college;10.0; Never-married; Own-child
43; Male;13059632; White; United-States; Bachelors;13.0; Never-married; Not-in-family
67; Male;15169328; White; United-States; 11th;7.0; Married-civ-spouse; Husband
30; Female;12630913; White; United-States; Assoc-voc;11.0; Divorced; Unmarried
56; Male;13484846; White; Iran; Assoc-acdm;12.0; Married-spouse-absent; Not-in-family
31; Male;26798085; White; United-States; Bachelors;13.0; Never-married; Own-child
33; Male;16687316; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
26; Male;21373629; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
33; Male;30027914; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
46; Male;33316420; White; United-States; 11th;7.0; Married-civ-spouse; Husband
59; Male;1005609; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
38; Male;28661174; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
65; Male;7912916; Other; United-States; 11th;7.0; Widowed; Unmarried
40; Male;32169882; White; United-States; Assoc-voc;11.0; Married-civ-spouse; Husband
42; Female;16031392; White; United-States; HS-grad;9.0; Married-civ-spouse; Wife
26; Male;11685109; White; Portugal; 9th;5.0; Married-civ-spouse; Husband
36; Female;2537228; White; United-States; 10th;6.0; Married-civ-spouse; Wife
62; Male;14393919; White; United-States; Masters;14.0; Married-civ-spouse; Husband
43; Male;5391370; White; United-States; Bachelors;13.0; Married-civ-spouse; Husband
43; Male;32030100; White; United-States; Bachelors;13.0; Divorced; Not-in-family
22; Male;28867880; White; United-States; HS-grad;9.0; Married-spouse-absent; Not-in-family
28; Male;4875445; White; United-States; HS-grad;9.0; Married-civ-spouse; Husband
