,Clothing ID,Age,Title,Rating,Division Name
273,1104,36,Gorgeous,very satisfied,General
274,878,41,Comfy and fun!,very satisfied,General
275,1182,37,Great tee,very satisfied,General Petite
276,868,55,Pretty and feminine,very satisfied,General
277,868,83,Sooooooooo cute!,very satisfied,General
278,868,35,Peplum hem tee,neutral,General
279,565,38,,very satisfied,General Petite
280,984,35,So comfortable and chic,very satisfied,General Petite
281,1104,45,,very satisfied,General
282,868,65,,very satisfied,General
283,878,41,Perfect sweatshirt,very satisfied,General
284,868,69,Clever white edges,satisfied,General
285,1104,36,Love this dress!,very satisfied,General
286,868,42,,unsatisfied,General
287,984,69,,very satisfied,General Petite
288,878,46,"Not much structure, boxy...",unsatisfied,General
289,984,55,Almost perfect denim jacket,very satisfied,General Petite
290,984,36,Perfect,very satisfied,General Petite
291,984,71,,very satisfied,General Petite
292,1024,65,Super nice,very satisfied,General
293,984,68,I wish it were alless stiff denim. runs small,neutral,General Petite
294,984,43,Terrific denim jacket,very satisfied,General Petite
295,1104,30,,very satisfied,General
296,1024,40,Cute versatile culottes,very satisfied,General
297,984,47,My new favorite denim jacket,very satisfied,General Petite
298,1104,39,,very satisfied,General
299,984,34,Favorite jean jacket,very satisfied,General Petite
300,1104,38,,satisfied,General
301,984,38,Perfect denim jacket,very satisfied,General Petite
302,895,36,,very satisfied,General
303,1104,41,Best dress ever!,very satisfied,General
304,1131,36,Stylish jacket,neutral,General
305,984,47,Adorable!,very satisfied,General Petite
306,1104,63,"Stunning, flattering, and versatile.",very satisfied,General
307,831,35,Pretty blouse!,very satisfied,General
308,984,35,Too distressed,satisfied,General Petite
309,1104,56,Stunning...,very satisfied,General
310,836,41,Cute top,very satisfied,General
311,1089,37,Runs large and zipper sticks,neutral,General Petite
312,844,34,Very unflattering,neutral,General Petite
313,836,32,Adorable,satisfied,General
314,836,60,Didn't work for me,neutral,General
315,836,21,Beautiful top!,very satisfied,General
316,836,59,Love this blouse,very satisfied,General
317,844,53,Lovely printed blouse,very satisfied,General Petite
318,936,27,"Love, love, love!",very satisfied,General Petite
319,895,62,Loveee,very satisfied,General
320,836,41,,very satisfied,General
321,831,50,My favorite new blouse,very satisfied,General
322,844,54,A standout,very satisfied,General Petite
323,895,47,,very satisfied,General
324,1066,41,Lovely!,very satisfied,General
325,844,43,Disappointing!,unsatisfied,General Petite
326,836,43,Better in person,very satisfied,General
327,836,23,Cuter is person,satisfied,General
328,907,25,,very satisfied,General
329,836,51,Airy and flattering,very satisfied,General
330,844,41,Awkward fit,neutral,General Petite
331,1103,49,Beautiful color,satisfied,General
332,866,46,Really good quality tee!,very satisfied,General
333,907,29,Cute top,very satisfied,General
334,844,53,Not a good fit,very unsatisfied,General Petite
335,895,66,Cutest vest,very satisfied,General
336,895,32,,very satisfied,General
337,1080,74,"Beautiful, vintage feel, delicate beadwork",very satisfied,General Petite
338,831,63,Very interesting design,very satisfied,General
339,844,41,Fun and flowy,very satisfied,General Petite
340,844,40,Beautiful shirt,satisfied,General Petite
341,831,40,Beautiful fabric,very satisfied,General
342,836,32,,very satisfied,General
343,907,49,"Nice basic piece, will get a lot of wear.",very satisfied,General
344,844,44,,neutral,General Petite
345,895,24,,very satisfied,General
346,895,70,Soft patterned long vest,very satisfied,General
347,907,30,Great piece,very satisfied,General
348,844,47,Beautiful and timeless,very satisfied,General Petite
349,836,27,"Cute top, but not for me",neutral,General
350,844,36,So disappointed! please fix it!,unsatisfied,General Petite
351,844,69,Ruffled buttondown,satisfied,General Petite
352,844,52,"Exquisite blouse, runs huge",very satisfied,General Petite
353,936,32,Sweater not a coat,unsatisfied,General Petite
354,907,37,Soft sweater,very satisfied,General
355,936,32,,very satisfied,General Petite
356,831,42,Could have been cute...,very unsatisfied,General
357,907,51,Worth the sale price,very satisfied,General
358,862,34,Almost but not quite,neutral,General Petite
359,836,37,"Nice, runs small and short",neutral,General
360,936,50,Amazing sweatercoat!,satisfied,General Petite
361,895,36,Great piece for layering,very satisfied,General Petite
362,836,65,Cute but ...,neutral,General
363,580,60,Nice thin sweatshirt,very satisfied,Initmates
364,895,46,That special lauer,very satisfied,General Petite
365,862,38,Comfy and cute,satisfied,General
366,862,37,Looks better when tried on; very cute,very satisfied,General
367,844,46,"Romantic print, elegant & beautiful - i love it!",very satisfied,General Petite
368,836,29,,unsatisfied,General
369,895,39,Positively agree,very satisfied,General Petite
370,836,25,,very satisfied,General
371,895,64,Love the print & style,very satisfied,General Petite
372,895,57,So cool,very satisfied,General Petite
373,895,44,Modern black and white,very satisfied,General Petite
374,836,44,Subdued sexy,very satisfied,General
375,859,26,So sexy,satisfied,General
376,862,37,Just okay,neutral,General
377,1049,48,One of my favorite pieces for night,very satisfied,General
378,862,35,,very satisfied,General
379,1089,67,Elegant and eye-catching,very satisfied,General Petite
380,1089,24,Work-appropriate lace,satisfied,General Petite
381,1104,59,Poor quality,neutral,General
382,127,47,Soft and cozy,satisfied,General Petite
383,1104,42,Looks are deceiving,neutral,General
384,936,29,Terrific sweater with great detail; runs large,very satisfied,General
385,902,54,Pretty/different style,satisfied,General
386,995,41,Poorly executed,unsatisfied,General
387,936,62,Beautiful!,very satisfied,General
388,127,29,Great with leggings!,satisfied,General Petite
389,1104,38,Bad quality.,very unsatisfied,General
390,1086,25,Flattering and fun!,satisfied,General
391,936,33,Love love love!,very satisfied,General
392,746,34,Lovely fabric but tiny hips,neutral,Initmates
393,1081,53,"Lovely dress, small top, different color",satisfied,General Petite
394,127,46,Too big/so soft,neutral,General Petite
395,936,33,Not sure about this one,neutral,General
396,127,40,"Comfy, but not made to last",neutral,General Petite
397,1035,32,Loving these jeans!,very satisfied,General
398,902,38,Lovely but runs big,satisfied,General
399,995,62,Possibly the cutest skirt ever!,very satisfied,General
400,1104,35,,very satisfied,General
401,1089,34,Classic,very satisfied,General Petite
402,1086,26,,neutral,General
403,902,31,,unsatisfied,General
404,902,58,Sweet little top,very satisfied,General
405,1094,40,Comfortable and dressy,very satisfied,General
406,1086,22,Not the best quality,neutral,General
407,936,55,"Soft, feminine, versatile",very satisfied,General
408,1036,66,Stylish option good for petites,satisfied,General
409,936,39,Sweet casual,very satisfied,General
410,1094,30,A perfect investment,very satisfied,General
411,1094,53,This dress is gorgeous!,very satisfied,General
412,1086,23,"Great dress, rough zipper",very satisfied,General
413,127,37,,very satisfied,General Petite
414,127,51,Cute & comfy top,very satisfied,General Petite
415,1083,37,Flattering and great buy on sale!,satisfied,General
416,872,35,I love this shirt,very satisfied,General
417,1083,35,Flimsy,unsatisfied,General
418,831,40,Super comfy,very satisfied,General
419,1080,32,"Pretty pattern, weird fit",neutral,General
420,1077,68,Easy and stylish,very satisfied,General
421,872,65,,satisfied,General
422,964,37,Very versatile,very satisfied,General
423,1089,39,Small boobies only,neutral,General Petite
424,872,22,Love the lace up design!,satisfied,General
425,1083,50,,very satisfied,General
426,829,33,Disappointed,satisfied,General
427,964,33,Very chic,very satisfied,General
428,1089,38,,very satisfied,General Petite
429,829,32,,very satisfied,General
430,829,51,Beautiful and versatile top!,very satisfied,General
431,967,56,So pretty and soft,very satisfied,General
432,829,38,Great for work or fun,satisfied,General
433,829,35,Perfect shirt for work or night out.,satisfied,General
434,872,48,Flattering tee,satisfied,General
435,872,31,,satisfied,General
436,149,38,So soft and comfy and fit for yoga!,satisfied,Initmates
437,964,58,Funky and classy,very satisfied,General
438,1030,63,Really cute!,very satisfied,General
439,964,40,Love. this. jacket.,very satisfied,General
440,1083,41,Bunches up weirdly in the front,satisfied,General
441,872,60,Cute top,satisfied,General
442,872,60,Red tee,very satisfied,General
443,829,48,Undecided,satisfied,General
444,872,70,Great casual shirt,satisfied,General
445,964,27,So much better irl,very satisfied,General
446,1089,32,,neutral,General Petite
447,872,26,Ultimately unimpressed,neutral,General
448,872,51,Vibrant red color,very satisfied,General
449,872,48,Love,very satisfied,General
450,1077,30,Looks fine if you don't move your arms.,unsatisfied,General
451,967,56,Great plaid!,satisfied,General
452,872,27,In love with this shirt,very satisfied,General
453,964,44,Perfection.,very satisfied,General
454,872,39,Perfect!,very satisfied,General
455,234,33,,very satisfied,Initmates
456,149,33,The most comfortable pants ever,satisfied,Initmates
457,829,60,Perfect top for work,satisfied,General
458,829,44,"Overall, i like it, but some sizing issues...",satisfied,General
459,872,71,,very satisfied,General
460,872,44,,very satisfied,General
461,850,52,"Very pretty, boho chic",very satisfied,General Petite
462,850,23,Great too but not for women who have a large bust.,neutral,General Petite
463,724,69,Cute slip but very body hugging,satisfied,Initmates
464,833,48,Lovely romantic blouse,very satisfied,General
465,862,35,Extra fabric in back adds a lot,very satisfied,General
466,850,59,,very satisfied,General Petite
467,1078,61,Great sweater dress!,very satisfied,General
468,850,45,Pretty blouse,very satisfied,General Petite
469,1104,25,"Love, love this flattering dress",very satisfied,General
470,1078,33,"Cute, but cheap",neutral,General
471,984,40,Love it.,satisfied,General
472,850,68,Gorgeous top with a hint of pizazz,very satisfied,General Petite
473,204,30,Else lingerie jardin silk bralette review,very satisfied,Initmates
474,1078,20,Super cute and flattering too,very satisfied,General
475,862,42,Poor quality,unsatisfied,General
476,1078,52,Fun dress,very satisfied,General
477,984,42,Very cute jacket!,very satisfied,General
478,1008,24,Cute but too large,satisfied,General
479,841,43,"Great, but size down.",satisfied,General Petite
480,1104,51,Not for the busty,neutral,General
481,850,39,Pretty adn flattering,very satisfied,General Petite
482,1081,39,Love everything about htis dress,very satisfied,General
483,833,39,,satisfied,General
484,850,57,Manette clipdot blouse,satisfied,General Petite
485,862,35,Runs large,satisfied,General Petite
486,1078,46,Fun mix of colors in the grey version,very satisfied,General
487,850,51,So pretty and great style,very satisfied,General Petite
488,850,39,,very satisfied,General Petite
489,831,55,Retailer like it used to be!,very satisfied,General
490,833,42,Lovely,very satisfied,General
491,984,40,Cute jacket,satisfied,General
492,1078,31,For the shorter girls,satisfied,General
493,1104,39,,very satisfied,General
494,1081,59,Flattering and comfortable,very satisfied,General
495,833,53,Still love it even if...,satisfied,General
496,850,41,Pretty spring flowers,very satisfied,General Petite
497,1078,49,,very satisfied,General
498,850,33,Boxy,neutral,General Petite
499,1078,36,"Cute concept, fits weird",unsatisfied,General
500,850,29,Nice but short,neutral,General Petite
501,850,49,Pretty top for work days,satisfied,General Petite
502,1078,39,Love this dress,very satisfied,General
503,948,40,Itchytown,unsatisfied,General Petite
504,850,57,"Feminine, flattering, versatile",very satisfied,General Petite
505,833,56,,satisfied,General
506,1078,51,"So cute, but weird fit",neutral,General
507,850,58,Awesome top,very satisfied,General Petite
508,1078,67,"Comfy, cute, and colorful.",satisfied,General
509,1078,36,Best fitting dress,very satisfied,General
510,850,27,"Gorgeous, flattering blouse!",very satisfied,General Petite
511,948,60,Cropped and itchy,unsatisfied,General Petite
512,1078,49,Cute but skip the petite unless you are very short,very satisfied,General
513,850,49,Manette clipdot blouse,neutral,General Petite
514,1081,35,Elegant and well made,very satisfied,General Petite
515,833,60,Lovely,very satisfied,General
516,1081,53,Well made,very satisfied,General Petite
517,850,38,Beautiful blouse; very flattering,satisfied,General Petite
518,850,48,Weird color and fit,unsatisfied,General Petite
519,850,37,,very satisfied,General Petite
520,984,42,Looks better on,very satisfied,General
521,850,50,,satisfied,General Petite
522,1104,41,Fun tag sale find,very satisfied,General
523,1104,39,,very unsatisfied,General
524,1104,26,Great dress,very satisfied,General
525,1078,25,Cute and fun!,very satisfied,General
526,850,34,The right kind of casual,very satisfied,General Petite
527,850,25,,very satisfied,General Petite
528,984,31,Easy jacket,neutral,General
529,1078,47,Great dress or tunic,very satisfied,General
530,984,61,Top coat,very satisfied,General
531,850,52,"Love, love, love this tunic!",very satisfied,General
532,833,56,Sleeves are really small,neutral,General
533,1078,68,,neutral,General
534,850,39,Perfect top!,very satisfied,General
535,1081,40,Comfortable and chic,satisfied,General Petite
536,984,53,,very satisfied,General
537,850,45,Perfect balance of classy and sexy,very satisfied,General
538,850,28,Great top,satisfied,General
539,1104,33,"Cute fit, perfect length",very satisfied,General
540,1078,71,Flattering,very satisfied,General
541,984,46,,very satisfied,General
542,984,56,,very satisfied,General
543,1078,36,Cute dress,satisfied,General
544,1104,35,Great fit,very satisfied,General
545,984,58,Comfortable and great looking,very satisfied,General
546,1078,53,Love this dress!,very satisfied,General
547,984,64,Great jacket!,very satisfied,General
548,833,45,Beautiful blouse but....,neutral,General
549,850,44,Feminine and pretty,very satisfied,General
550,1078,52,Not a fan - childish,neutral,General
551,1078,49,,unsatisfied,General
552,984,52,,very satisfied,General
553,850,56,Runs large through the chest...,satisfied,General
554,1078,45,,very satisfied,General
555,984,35,Love! my new favorite jacket!,very satisfied,General
556,831,38,Lovely blouse!,satisfied,General
557,1086,32,Love the lace detail,satisfied,General
558,1044,39,,very satisfied,General Petite
559,820,32,Cute,satisfied,General
560,1094,35,Gorgeous dress,very satisfied,General
561,1094,34,A must buy!!,very satisfied,General
562,995,48,,very satisfied,General
563,1094,36,Prety dress that fits true to size,satisfied,General
564,1060,40,"Very nice, just as pictured",very satisfied,General
565,833,47,,very unsatisfied,General
566,1037,41,Glad i took a chance on these!,satisfied,General Petite
567,875,33,Adorable top!!,very satisfied,General
568,875,33,Cute top!,satisfied,General
569,820,39,Love,very satisfied,General
570,1037,54,Comfortable and unique,satisfied,General Petite
571,820,44,,satisfied,General
572,1037,39,,very satisfied,General
573,820,24,Fits so well!,very satisfied,General
574,833,65,,very unsatisfied,General
575,1094,64,Stunning special occasion dress,very satisfied,General
576,833,40,Love this shirt,very satisfied,General
577,995,39,"Comfortable, soft",satisfied,General
578,1094,42,Not for us chesty girls!,neutral,General
579,875,34,Fit is not cute,unsatisfied,General
580,1037,38,,neutral,General
581,875,29,Do not like the front,unsatisfied,General
582,833,49,Not doing anything for me,neutral,General
583,1060,39,Not for me,neutral,General
584,1094,48,Cute outfit,satisfied,General
585,835,66,So good,very satisfied,General
586,1094,25,Love this dress,satisfied,General
587,1094,36,Classy little dress,satisfied,General
588,875,46,Awkward style,unsatisfied,General
589,823,37,,very satisfied,General
590,835,42,Unique piece / boho chic,very satisfied,General
591,833,26,My favorite black top.,satisfied,General
592,833,33,Super flattering,very satisfied,General
593,820,52,Pretty tank,very satisfied,General
594,835,41,Different than the rest !!!,very satisfied,General
595,1060,25,Slimmingly perfect!,very satisfied,General
596,1037,47,Too bad!,neutral,General
597,820,24,"Very cute, snug fit",satisfied,General
598,1079,32,,neutral,General
599,1060,44,Surprisingly retro-adorable,satisfied,General
600,875,66,Love,very satisfied,General
601,835,64,Western look,very satisfied,General
602,1078,39,Gorgeous quality knit,very satisfied,General Petite
603,1037,42,"Wanted to love, but sadly will return.",very unsatisfied,General
604,820,35,Great top!!,very satisfied,General
605,1072,59,Lovely but smells like last purchaser's deodorant.,very satisfied,General
606,1094,64,Interesting but awkward to actually wear,neutral,General
607,833,40,"Beautiful, but a few caveats",satisfied,General
608,1037,22,Fun jeggings,satisfied,General
609,1094,53,Loved in theory,neutral,General
610,995,34,No shape,unsatisfied,General
611,252,35,,satisfied,Initmates
612,634,29,Great casual dress to throw on,satisfied,General Petite
613,985,24,Plaid bomb pairs fabulous with everything fall!,very satisfied,General
614,1059,37,Great staple!,very satisfied,General
615,985,65,Perfect fall jacket,very satisfied,General
616,1059,36,Must have,very satisfied,General
617,634,35,Lounging dress,satisfied,General Petite
618,1059,27,Perfect fit,very satisfied,General
619,252,36,,satisfied,Initmates
620,634,28,Functional casual dress,very satisfied,General Petite
621,252,46,Best bathing suit!,very satisfied,Initmates
622,117,70,,neutral,Initmates
623,117,57,,very satisfied,Initmates
624,634,69,Overpriced but so comfortable,satisfied,General Petite
625,252,28,My new favorite swim suit,very satisfied,Initmates
