tiempo_completo,id_personal,mes,mes_id,sku_id,ventas_totales,ingresos_anio_pasado,calificacion_servicio,comentarios_adicionales,fecha_contratacion
si,1,febrero,2,7,6,9600,Excelente,servicial,27/06/2012
si,1,marzo,3,7,7,11200,Excelente,atento,27/06/2012
si,1,abril,4,7,15,24000,Excelente,amable servicial,27/06/2012
si,1,mayo,5,7,0,0,Excelente,servicial,27/06/2012
si,1,junio,6,7,1,1600,Excelente,atento,27/06/2012
si,1,julio,7,7,17,27200,Excelente,amable servicial,27/06/2012
si,1,agosto,8,7,10,16000,Excelente,servicial,27/06/2012
si,1,septiembre,9,7,20,32000,Excelente,atento,27/06/2012
si,1,enero,1,8,6,9600,Regular,tarado,27/06/2012
si,1,febrero,2,8,4,6400,Excelente,amable servicial,27/06/2012
si,1,marzo,3,8,12,19200,Excelente,servicial,27/06/2012
si,1,abril,4,8,5,8000,Excelente,atento,27/06/2012
si,1,mayo,5,8,20,32000,Excelente,amable servicial,27/06/2012
si,1,junio,6,8,8,12800,Excelente,servicial,27/06/2012
si,1,julio,7,8,5,8000,Excelente,atento,27/06/2012
si,1,agosto,8,8,12,19200,Excelente,amable servicial,27/06/2012
si,1,septiembre,9,8,11,17600,Excelente,servicial,27/06/2012
si,1,enero,1,9,5,8000,Regular,despistado,27/06/2012
si,1,febrero,2,9,0,0,Excelente,atento,27/06/2012
si,1,marzo,3,9,11,17600,Excelente,amable servicial,27/06/2012
si,1,abril,4,9,2,3200,Excelente,servicial,27/06/2012
si,1,mayo,5,9,7,11200,Excelente,atento,27/06/2012
si,1,junio,6,9,20,32000,Excelente,amable servicial,27/06/2012
si,1,julio,7,9,3,4800,Excelente,servicial,27/06/2012
si,1,agosto,8,9,14,22400,Excelente,atento,27/06/2012
si,1,septiembre,9,9,4,6400,Excelente,amable servicial,27/06/2012
si,1,enero,1,10,15,24000,Regular,despistado tardado,27/06/2012
si,1,febrero,2,10,8,12800,Excelente,servicial,27/06/2012
si,1,marzo,3,10,0,0,Excelente,atento,27/06/2012
si,1,abril,4,10,7,11200,Excelente,amable servicial,27/06/2012
si,1,mayo,5,10,12,19200,Excelente,servicial,27/06/2012
si,1,junio,6,10,2,3200,Excelente,atento,27/06/2012
si,1,julio,7,10,7,11200,Excelente,amable servicial,27/06/2012
si,1,agosto,8,10,14,22400,Excelente,servicial,27/06/2012
si,1,septiembre,9,10,11,17600,Excelente,atento,27/06/2012
si,1,enero,1,11,2,3200,Regular,lento servicial amigable,27/06/2012
si,1,febrero,2,11,19,30400,Excelente,amable servicial,27/06/2012
si,1,marzo,3,11,9,14400,Excelente,servicial,27/06/2012
si,1,abril,4,11,15,24000,Excelente,atento,27/06/2012
si,1,mayo,5,11,9,14400,Excelente,amable servicial,27/06/2012
si,1,junio,6,11,20,32000,Excelente,servicial,27/06/2012
si,1,julio,7,11,19,30400,Excelente,atento,27/06/2012
si,1,agosto,8,11,3,4800,Excelente,amable servicial,27/06/2012
si,1,septiembre,9,11,2,3200,Excelente,servicial,27/06/2012
si,1,enero,1,12,12,19200,Regular,lento,27/06/2012
si,1,febrero,2,12,17,27200,Excelente,atento,27/06/2012
si,1,marzo,3,12,16,25600,Excelente,amable servicial,27/06/2012
si,1,abril,4,12,16,25600,Excelente,servicial,27/06/2012
si,1,mayo,5,12,10,16000,Excelente,atento,27/06/2012
si,1,junio,6,12,9,14400,Excelente,amable servicial,27/06/2012
si,1,julio,7,12,17,27200,Excelente,servicial,27/06/2012
si,1,agosto,8,12,16,25600,Excelente,atento,27/06/2012
si,1,septiembre,9,12,20,32000,Excelente,amable servicial,27/06/2012
si,1,enero,1,13,5,8000,Regular,tarado,27/06/2012
si,1,febrero,2,13,11,17600,Excelente,servicial,27/06/2012
si,1,marzo,3,13,11,17600,Excelente,atento,27/06/2012
si,1,abril,4,13,15,24000,Excelente,amable servicial,27/06/2012
si,1,mayo,5,13,8,12800,Excelente,servicial,27/06/2012
si,1,junio,6,13,4,6400,Excelente,atento,27/06/2012
si,1,julio,7,13,7,11200,Excelente,amable servicial,27/06/2012
si,1,agosto,8,13,7,11200,Excelente,servicial,27/06/2012
si,1,septiembre,9,13,9,14400,Excelente,atento,27/06/2012
si,1,enero,1,14,0,-1000,Regular,despistado,27/06/2012
si,1,febrero,2,14,4,6400,Excelente,amable servicial,27/06/2012
si,1,marzo,3,14,13,20800,Excelente,servicial,27/06/2012
si,1,abril,4,14,1,1600,Excelente,atento,27/06/2012
si,1,mayo,5,14,18,28800,Excelente,amable servicial,27/06/2012
si,1,junio,6,14,15,24000,Excelente,servicial,27/06/2012
si,1,julio,7,14,2,3200,Excelente,atento,27/06/2012
si,1,agosto,8,14,19,30400,Excelente,amable servicial,27/06/2012
si,1,septiembre,9,14,15,24000,Excelente,servicial,27/06/2012
si,1,enero,1,15,10,16000,Regular,despistado tardado,27/06/2012
si,1,febrero,2,15,12,19200,Excelente,atento,27/06/2012
si,1,marzo,3,15,14,22400,Excelente,amable servicial,27/06/2012
si,1,abril,4,15,4,6400,Excelente,servicial,27/06/2012
si,1,mayo,5,15,15,24000,Excelente,atento,27/06/2012
si,1,junio,6,15,8,12800,Excelente,amable servicial,27/06/2012
si,1,julio,7,15,6,9600,Excelente,servicial,27/06/2012
si,1,agosto,8,15,2,3200,Excelente,atento,27/06/2012
si,1,septiembre,9,15,16,25600,Excelente,amable servicial,27/06/2012
si,1,enero,1,16,17,27200,Regular,lento servicial amigable,27/06/2012
si,1,febrero,2,16,3,4800,Excelente,servicial,27/06/2012
si,1,marzo,3,16,20,32000,Excelente,atento,27/06/2012
si,1,abril,4,16,12,19200,Excelente,amable servicial,27/06/2012
si,1,mayo,5,16,3,4800,Excelente,servicial,27/06/2012
si,1,junio,6,16,5,8000,Excelente,atento,27/06/2012
si,1,julio,7,16,9,14400,Excelente,amable servicial,27/06/2012
si,1,agosto,8,16,9,14400,Excelente,servicial,27/06/2012
si,1,septiembre,9,16,2,3200,Excelente,atento,27/06/2012
si,1,enero,1,17,10,16000,Regular,lento,27/06/2012
si,1,febrero,2,17,18,28800,Excelente,amable servicial,27/06/2012
si,1,marzo,3,17,16,25600,Excelente,servicial,27/06/2012
si,1,abril,4,17,1,1600,Excelente,atento,27/06/2012
si,1,mayo,5,17,12,19200,Excelente,amable servicial,27/06/2012
si,1,junio,6,17,10,16000,Excelente,servicial,27/06/2012
si,1,julio,7,17,16,25600,Excelente,atento,27/06/2012
si,1,agosto,8,17,3,4800,Excelente,amable servicial,27/06/2012
si,1,septiembre,9,17,3,4800,Excelente,servicial,27/06/2012
si,1,enero,1,18,19,30400,Regular,tarado,27/06/2012
si,1,febrero,2,18,10,16000,Excelente,atento,27/06/2012
si,1,marzo,3,18,15,24000,Excelente,amable servicial,27/06/2012
si,1,abril,4,18,20,32000,Excelente,servicial,27/06/2012
si,1,mayo,5,18,4,6400,Excelente,atento,27/06/2012
si,1,junio,6,18,3,4800,Excelente,amable servicial,27/06/2012
si,1,julio,7,18,15,24000,Excelente,servicial,27/06/2012
si,1,agosto,8,18,11,17600,Excelente,atento,27/06/2012
si,1,septiembre,9,18,19,30400,Excelente,amable servicial,27/06/2012
si,1,enero,1,19,10,16000,Regular,despistado,27/06/2012
si,1,febrero,2,19,14,22400,Excelente,servicial,27/06/2012
si,1,marzo,3,19,19,30400,Excelente,atento,27/06/2012
si,1,abril,4,19,15,24000,Excelente,amable servicial,27/06/2012
si,1,mayo,5,19,14,22400,Excelente,servicial,27/06/2012
si,1,junio,6,19,5,8000,Excelente,atento,27/06/2012
si,1,julio,7,19,5,8000,Excelente,amable servicial,27/06/2012
si,1,agosto,8,19,10,16000,Excelente,servicial,27/06/2012
si,1,septiembre,9,19,8,12800,Excelente,atento,27/06/2012
si,1,enero,1,20,15,24000,Regular,despistado tardado,27/06/2012
si,1,febrero,2,20,14,22400,Excelente,amable servicial,27/06/2012
si,1,marzo,3,20,11,17600,Excelente,servicial,27/06/2012
si,1,abril,4,20,4,6400,Excelente,atento,27/06/2012
si,1,mayo,5,20,0,0,Excelente,amable servicial,27/06/2012
si,1,junio,6,20,4,6400,Excelente,servicial,27/06/2012
si,1,julio,7,20,8,12800,Excelente,atento,27/06/2012
si,1,agosto,8,20,9,14400,Excelente,amable servicial,27/06/2012
si,1,septiembre,9,20,15,24000,Excelente,servicial,27/06/2012
si,1,enero,1,21,9,14400,Regular,lento servicial amigable,27/06/2012
si,1,febrero,2,21,19,30400,Excelente,atento,27/06/2012
si,1,marzo,3,21,1,1600,Excelente,amable servicial,27/06/2012
si,1,abril,4,21,12,19200,Excelente,servicial,27/06/2012
si,1,mayo,5,21,0,0,Excelente,atento,27/06/2012
si,1,junio,6,21,11,17600,Excelente,amable servicial,27/06/2012
si,1,julio,7,21,15,24000,Excelente,servicial,27/06/2012
si,1,agosto,8,21,0,0,Excelente,atento,27/06/2012
si,1,septiembre,9,21,7,11200,Excelente,amable servicial,27/06/2012
si,1,enero,1,22,6,9600,Regular,lento,27/06/2012
si,1,febrero,2,22,11,17600,Excelente,servicial,27/06/2012
si,1,marzo,3,22,1,1600,Excelente,atento,27/06/2012
si,1,abril,4,22,9,1440000,Excelente,amable servicial,27/06/2012
si,1,mayo,5,22,19,30400,Excelente,servicial,27/06/2012
si,1,junio,6,22,0,0,Excelente,atento,27/06/2012
si,1,julio,7,22,2,3200,Excelente,amable servicial,27/06/2012
si,1,agosto,8,22,12,19200,Excelente,servicial,27/06/2012
si,1,septiembre,9,22,8,12800,Excelente,atento,27/06/2012
si,1,enero,1,23,14,22400,Regular,tarado,27/06/2012
si,1,febrero,2,23,20,32000,Excelente,amable servicial,27/06/2012
si,1,marzo,3,23,15,24000,Excelente,servicial,27/06/2012
si,1,abril,4,23,3,4800,Excelente,atento,27/06/2012
si,1,mayo,5,23,2,3200,Excelente,amable servicial,27/06/2012
si,1,junio,6,23,0,0,Excelente,servicial,27/06/2012
si,1,julio,7,23,7,11200,Excelente,atento,27/06/2012
si,1,agosto,8,23,15,24000,Excelente,amable servicial,27/06/2012
si,1,septiembre,9,23,14,22400,Excelente,servicial,27/06/2012
si,1,enero,1,24,4,6400,Regular,despistado,27/06/2012
si,1,febrero,2,24,16,25600,Excelente,atento,27/06/2012
si,1,marzo,3,24,9,14400,Excelente,amable servicial,27/06/2012
si,1,abril,4,24,8,12800,Excelente,servicial,27/06/2012
si,1,mayo,5,24,8,12800,Excelente,atento,27/06/2012
si,1,junio,6,24,12,19200,Excelente,amable servicial,27/06/2012
si,1,julio,7,24,16,25600,Excelente,servicial,27/06/2012
si,1,agosto,8,24,6,9600,Excelente,atento,27/06/2012
si,1,septiembre,9,24,1,1600,Excelente,amable servicial,27/06/2012
si,1,enero,1,25,13,20800,Regular,despistado tardado,27/06/2012
si,1,febrero,2,25,6,9600,Excelente,servicial,27/06/2012
si,1,marzo,3,25,13,20800,Excelente,atento,27/06/2012
si,1,abril,4,25,4,6400,Excelente,amable servicial,27/06/2012
si,1,mayo,5,25,8,12800,Excelente,servicial,27/06/2012
si,1,junio,6,25,16,25600,Excelente,atento,27/06/2012
si,1,julio,7,25,18,28800,Excelente,amable servicial,27/06/2012
si,1,agosto,8,25,1,1600,Excelente,servicial,27/06/2012
si,1,septiembre,9,25,14,22400,Excelente,atento,27/06/2012
si,1,enero,1,26,10,16000,Regular,lento servicial amigable,27/06/2012
si,1,febrero,2,26,4,6400,Excelente,amable servicial,27/06/2012
si,1,marzo,3,26,7,11200,Excelente,servicial,27/06/2012
si,1,abril,4,26,1,1600,Excelente,atento,27/06/2012
si,1,mayo,5,26,15,24000,Excelente,amable servicial,27/06/2012
si,1,junio,6,26,6,9600,Excelente,servicial,27/06/2012
si,1,julio,7,26,6,9600,Excelente,atento,27/06/2012
si,1,agosto,8,26,14,22400,Excelente,amable servicial,27/06/2012
si,1,septiembre,9,26,18,28800,Excelente,servicial,27/06/2012
si,1,enero,1,27,5,8000,Regular,lento,27/06/2012
si,1,febrero,2,27,10,16000,Excelente,atento,27/06/2012
si,1,marzo,3,27,0,0,Excelente,amable servicial,27/06/2012
si,1,abril,4,27,13,20800,Excelente,servicial,27/06/2012
si,1,mayo,5,27,6,9600,Excelente,atento,27/06/2012
si,1,junio,6,27,19,30400,Excelente,amable servicial,27/06/2012
si,1,julio,7,27,50,80000,Excelente,servicial,27/06/2012
si,1,agosto,8,27,0,0,Excelente,atento,27/06/2012
si,1,septiembre,9,27,2,3200,Excelente,amable servicial,27/06/2012
si,1,enero,1,28,3,4800,Regular,tarado,27/06/2012
si,1,febrero,2,28,5,8000,Excelente,servicial,27/06/2012
si,1,marzo,3,28,0,0,Excelente,atento,27/06/2012
si,1,abril,4,28,9,14400,Excelente,amable servicial,27/06/2012
si,1,mayo,5,28,2,3200,Excelente,servicial,27/06/2012
si,1,junio,6,28,6,9600,Excelente,atento,27/06/2012
si,1,julio,7,28,13,20800,Excelente,amable servicial,27/06/2012
si,1,agosto,8,28,15,24000,Excelente,servicial,27/06/2012
si,1,septiembre,9,28,14,22400,Excelente,atento,27/06/2012
si,1,enero,1,29,1,1600,Regular,despistado,27/06/2012
si,1,febrero,2,29,2,3200,Excelente,amable servicial,27/06/2012
si,1,marzo,3,29,17,27200,Excelente,servicial,27/06/2012
si,1,abril,4,29,6,9600,Excelente,atento,27/06/2012
si,1,mayo,5,29,8,12800,Excelente,amable servicial,27/06/2012
si,1,junio,6,29,8,12800,Excelente,servicial,27/06/2012
si,1,julio,7,29,11,17600,Excelente,atento,27/06/2012
si,1,agosto,8,29,9,14400,Excelente,amable servicial,27/06/2012
si,1,septiembre,9,29,19,30400,Excelente,servicial,27/06/2012
si,1,enero,1,30,12,19200,Regular,despistado tardado,27/06/2012
si,1,febrero,2,30,9,14400,Excelente,atento,27/06/2012
si,1,marzo,3,30,11,17600,Excelente,amable servicial,27/06/2012
si,1,abril,4,30,19,30400,Excelente,servicial,27/06/2012
si,1,mayo,5,30,3,4800,Excelente,atento,27/06/2012
si,1,junio,6,30,20,32000,Excelente,amable servicial,27/06/2012
si,1,julio,7,30,2,3200,Excelente,servicial,27/06/2012
si,1,agosto,8,30,8,12800,Excelente,atento,27/06/2012
si,1,septiembre,9,30,5,8000,Excelente,amable servicial,27/06/2012
si,1,enero,1,31,5,8000,Regular,lento servicial amigable,27/06/2012
si,1,febrero,2,31,10,16000,Excelente,servicial,27/06/2012
si,1,marzo,3,31,15,24000,Excelente,atento,27/06/2012
si,1,abril,4,31,12,19200,Excelente,amable servicial,27/06/2012
si,1,mayo,5,31,0,0,Excelente,servicial,27/06/2012
si,1,junio,6,31,13,20800,Excelente,atento,27/06/2012
si,1,julio,7,31,12,19200,Excelente,amable servicial,27/06/2012
si,1,agosto,8,31,13,20800,Excelente,servicial,27/06/2012
si,1,septiembre,9,31,18,28800,Excelente,atento,27/06/2012
si,1,enero,1,32,19,30400,Regular,lento,27/06/2012
si,1,febrero,2,32,10,16000,Excelente,amable servicial,27/06/2012
si,1,marzo,3,32,0,0,Excelente,servicial,27/06/2012
si,1,abril,4,32,17,27200,Excelente,atento,27/06/2012
si,1,mayo,5,32,13,20800,Excelente,amable servicial,27/06/2012
si,1,junio,6,32,4,6400,Excelente,servicial,27/06/2012
si,1,julio,7,32,12,19200,Excelente,atento,27/06/2012
si,1,agosto,8,32,13,20800,Excelente,amable servicial,27/06/2012
si,1,septiembre,9,32,13,20800,Excelente,servicial,27/06/2012
si,1,enero,1,33,16,25600,Regular,tarado,27/06/2012
si,1,febrero,2,33,12,19200,Excelente,atento,27/06/2012
si,1,marzo,3,33,12,19200,Excelente,amable servicial,27/06/2012
si,1,abril,4,33,11,17600,Excelente,servicial,27/06/2012
si,1,mayo,5,33,6,9600,Excelente,atento,27/06/2012
si,1,junio,6,33,6,9600,Excelente,amable servicial,27/06/2012
si,1,julio,7,33,19,30400,Excelente,servicial,27/06/2012
si,1,agosto,8,33,19,30400,Excelente,atento,27/06/2012
si,1,septiembre,9,33,18,28800,Excelente,amable servicial,27/06/2012
si,1,enero,1,34,16,25600,Regular,despistado,27/06/2012
si,1,febrero,2,34,8,12800,Excelente,servicial,27/06/2012
si,1,marzo,3,34,4,6400,Excelente,atento,27/06/2012
si,1,abril,4,34,18,28800,Excelente,amable servicial,27/06/2012
si,1,mayo,5,34,14,22400,Excelente,servicial,27/06/2012
si,1,junio,6,34,2,3200,Excelente,atento,27/06/2012
si,1,julio,7,34,16,25600,Excelente,amable servicial,27/06/2012
si,1,agosto,8,34,7,11200,Excelente,servicial,27/06/2012
si,1,septiembre,9,34,2,3200,Excelente,atento,27/06/2012
si,2,enero,1,1,12,19200,Regular,despistado tardado,11/08/2010
si,2,febrero,2,1,2,3200,Excelente,amable servicial,11/08/2010
si,2,marzo,3,1,3,4800,Excelente,servicial,11/08/2010
si,2,abril,4,1,13,20800,Excelente,atento,11/08/2010
si,2,mayo,5,1,1,1600,Excelente,amable servicial,11/08/2010
si,2,junio,6,1,7,11200,Excelente,servicial,11/08/2010
si,2,julio,7,1,4,6400,Excelente,atento,11/08/2010
si,2,agosto,8,1,0,0,Excelente,amable servicial,11/08/2010
si,2,septiembre,9,1,14,22400,Excelente,servicial,11/08/2010
si,2,enero,1,2,19,30400,Regular,lento servicial amigable,11/08/2010
si,2,febrero,2,2,16,25600,Excelente,atento,11/08/2010
si,2,marzo,3,2,20,32000,Excelente,amable servicial,11/08/2010
si,2,abril,4,2,7,11200,Excelente,servicial,11/08/2010
si,2,mayo,5,2,3,4800,Excelente,atento,11/08/2010
si,2,junio,6,2,14,22400,Excelente,amable servicial,11/08/2010
si,2,julio,7,2,11,17600,Excelente,servicial,11/08/2010
si,2,agosto,8,2,10,16000,Excelente,atento,11/08/2010
si,2,septiembre,9,2,2,3200,Excelente,amable servicial,11/08/2010
si,2,enero,1,3,5,8000,Regular,lento,11/08/2010
si,2,febrero,2,3,7,11200,Excelente,servicial,11/08/2010
si,2,marzo,3,3,17,27200,Excelente,atento,11/08/2010
si,2,abril,4,3,16,25600,Excelente,amable servicial,11/08/2010
si,2,mayo,5,3,17,27200,Excelente,servicial,11/08/2010
si,2,junio,6,3,5,8000,Excelente,atento,11/08/2010
si,2,julio,7,3,13,20800,Excelente,amable servicial,11/08/2010
si,2,agosto,8,3,2,3200,Excelente,servicial,11/08/2010
si,2,septiembre,9,3,13,20800,Excelente,atento,11/08/2010
si,2,enero,1,4,17,27200,Regular,tarado,11/08/2010
si,2,febrero,2,4,1,1600,Excelente,amable servicial,11/08/2010
si,2,marzo,3,4,17,27200,Excelente,servicial,11/08/2010
si,2,abril,4,4,4,6400,Excelente,atento,11/08/2010
si,2,mayo,5,4,7,11200,Excelente,amable servicial,11/08/2010
si,2,junio,6,4,17,27200,Excelente,servicial,11/08/2010
si,2,julio,7,4,3,4800,Excelente,atento,11/08/2010
si,2,agosto,8,4,9,14400,Excelente,amable servicial,11/08/2010
si,2,septiembre,9,4,18,28800,Excelente,servicial,11/08/2010
si,2,enero,1,5,1,1600,Regular,despistado,11/08/2010
si,2,febrero,2,5,12,19200,Excelente,atento,11/08/2010
si,2,marzo,3,5,5,8000,Excelente,amable servicial,11/08/2010
si,2,abril,4,5,18,28800,Excelente,servicial,11/08/2010
si,2,mayo,5,5,20,32000,Excelente,atento,11/08/2010
si,2,junio,6,5,1,1600,Excelente,amable servicial,11/08/2010
si,2,julio,7,5,14,22400,Excelente,servicial,11/08/2010
si,2,agosto,8,5,7,11200,Excelente,atento,11/08/2010
si,2,septiembre,9,5,19,30400,Excelente,amable servicial,11/08/2010
si,2,enero,1,6,13,20800,Regular,despistado tardado,11/08/2010
si,2,febrero,2,6,3,4800,Excelente,servicial,11/08/2010
si,2,marzo,3,6,9,14400,Excelente,atento,11/08/2010
si,2,abril,4,6,20,32000,Excelente,amable servicial,11/08/2010
si,2,mayo,5,6,4,6400,Excelente,servicial,11/08/2010
si,2,junio,6,6,11,17600,Excelente,atento,11/08/2010
si,2,julio,7,6,14,22400,Excelente,amable servicial,11/08/2010
si,2,agosto,8,6,11,17600,Excelente,servicial,11/08/2010
si,2,septiembre,9,6,4,6400,Excelente,atento,11/08/2010
si,2,enero,1,7,20,32000,Regular,lento servicial amigable,11/08/2010
si,2,febrero,2,7,15,24000,Excelente,amable servicial,11/08/2010
si,2,marzo,3,7,14,22400,Excelente,servicial,11/08/2010
si,2,abril,4,7,18,28800,Excelente,atento,11/08/2010
si,2,mayo,5,7,2,3200,Excelente,amable servicial,11/08/2010
si,2,junio,6,7,4,6400,Excelente,servicial,11/08/2010
si,2,julio,7,7,2,3200,Excelente,atento,11/08/2010
si,2,agosto,8,7,8,12800,Excelente,amable servicial,11/08/2010
si,2,septiembre,9,7,0,0,Excelente,servicial,11/08/2010
si,2,enero,1,8,5,8000,Regular,lento,11/08/2010
si,2,febrero,2,8,20,32000,Excelente,atento,11/08/2010
si,2,marzo,3,8,13,20800,Excelente,amable servicial,11/08/2010
si,2,abril,4,8,5,8000,Excelente,servicial,11/08/2010
si,2,mayo,5,8,5,8000,Excelente,atento,11/08/2010
si,2,junio,6,8,5,8000,Excelente,amable servicial,11/08/2010
si,2,julio,7,8,16,25600,Excelente,servicial,11/08/2010
si,2,agosto,8,8,16,25600,Excelente,atento,11/08/2010
si,2,septiembre,9,8,18,28800,Excelente,amable servicial,11/08/2010
si,2,enero,1,9,14,22400,Regular,tarado,11/08/2010
si,2,febrero,2,9,16,25600,Excelente,servicial,11/08/2010
si,2,marzo,3,9,7,11200,Excelente,atento,11/08/2010
si,2,abril,4,9,4,6400,Excelente,amable servicial,11/08/2010
si,2,mayo,5,9,17,27200,Excelente,servicial,11/08/2010
si,2,junio,6,9,0,0,Excelente,atento,11/08/2010
si,2,julio,7,9,12,19200,Excelente,amable servicial,11/08/2010
si,2,agosto,8,9,9,14400,Excelente,servicial,11/08/2010
si,2,septiembre,9,9,5,8000,Excelente,atento,11/08/2010
si,2,enero,1,10,9,14400,Regular,despistado,11/08/2010
si,2,febrero,2,10,1,1600,Excelente,amable servicial,11/08/2010
si,2,marzo,3,10,7,11200,Excelente,servicial,11/08/2010
si,2,abril,4,10,18,28800,Excelente,atento,11/08/2010
si,2,mayo,5,10,11,17600,Excelente,amable servicial,11/08/2010
si,2,junio,6,10,7,11200,Excelente,servicial,11/08/2010
si,2,julio,7,10,15,24000,Excelente,atento,11/08/2010
si,2,agosto,8,10,10,16000,Excelente,amable servicial,11/08/2010
si,2,septiembre,9,10,16,25600,Excelente,servicial,11/08/2010
si,2,enero,1,11,13,20800,Regular,despistado tardado,11/08/2010
si,2,febrero,2,11,11,17600,Excelente,atento,11/08/2010
si,2,marzo,3,11,20,32000,Excelente,amable servicial,11/08/2010
si,2,abril,4,11,13,20800,Excelente,servicial,11/08/2010
si,2,mayo,5,11,9,14400,Excelente,atento,11/08/2010
si,2,junio,6,11,4,6400,Excelente,amable servicial,11/08/2010
si,2,julio,7,11,2,3200,Excelente,servicial,11/08/2010
si,2,agosto,8,11,15,24000,Excelente,atento,11/08/2010
si,2,septiembre,9,11,19,30400,Excelente,amable servicial,11/08/2010
si,2,enero,1,12,19,30400,Regular,lento servicial amigable,11/08/2010
si,2,febrero,2,12,14,22400,Excelente,servicial,11/08/2010
si,2,marzo,3,12,13,20800,Excelente,atento,11/08/2010
si,2,abril,4,12,10,16000,Excelente,amable servicial,11/08/2010
si,2,mayo,5,12,14,22400,Excelente,servicial,11/08/2010
si,2,junio,6,12,3,4800,Excelente,atento,11/08/2010
si,2,julio,7,12,14,22400,Excelente,amable servicial,11/08/2010
si,2,agosto,8,12,8,12800,Excelente,servicial,11/08/2010
si,2,septiembre,9,12,10,16000,Excelente,atento,11/08/2010
si,2,enero,1,13,11,17600,Regular,lento,11/08/2010
si,2,febrero,2,13,20,32000,Excelente,amable servicial,11/08/2010
si,2,marzo,3,13,17,27200,Excelente,servicial,11/08/2010
si,2,abril,4,13,0,0,Excelente,atento,11/08/2010
si,2,mayo,5,13,1,1600,Excelente,amable servicial,11/08/2010
si,2,junio,6,13,19,30400,Excelente,servicial,11/08/2010
